Career (Small List),Matched Career (Large List)
Occupation A,
Agricultural Engineers,Agricultural Engineer
Architects,Architect
Multimedia Artists and Animators,Animator
Data Scientist,Environmental Scientist
STEM Teacher (Secondary Education),"Senior Secondary and Secondary School Teacher, Science"
Financial Analyst,Financial Analyst
Policy Analyst,Operations Research Analyst
Biomedical Engineer,Biomedical Engineer
Data Analyst in Hospitality,Operations Research Analyst
Biomedical Engineer,Biomedical Engineer
Software Developer ,Front-End Developer
Cybersecurity Specialist,Security Officer
Manufacturing Engineer,Industrial Engineer
Digital Marketing Specialist,Digital Marketing Manager
Logistics Manager,Transport Manager
Environmental Scientist ,Environmental Scientist
Agricultural Scientist,Soil Scientist
Healthcare Architect,Public Health System Design Engineer
Medical Illustrator ,Rendering Artist
Healthcare Administrator,Hospital Administrator
Health Educator,Health Educator
Healthcare Financial Analyst,Financial Analyst
Public Health Administrator,Hospital Administrator
Clinical Research Coordinator,Medical Laboratory Technician
Health and Wellness Coordinator,Assistant Beauty/Wellness Consultant
Healthcare Administrator,Hospital Administrator
Health Informatics Specialist,Medical Records and Health Information Technician
Clinical Research Informatics Specialist,Medical Physiologist
Biomedical Engineer,Biomedical Engineer
Pharmaceutical Sales Representative,Medical Sales Representative
Clinical Logistics Manager,Medical Sales Representative
Biomedical Engineer,Biomedical Engineer
Agricultural Lawyer,Attorney at Law
Construction Lawyer,Attorney at Law
Media Lawyer,Attorney at Law
Corporate Lawyer,Attorney at Law
Education Policy Analyst,Operations Research Analyst
Financial Compliance Officer,Accounts Executive (Statutory Compliance)
Public Policy Analyst,Public Relations Officer
Health Law Attorney,Attorney at Law
Hospitality Lawyer,Attorney at Law
Social Services Lawyer,Attorney at Law
Cybersecurity Lawyer,Security Supervisor
Victim Advocate,Advocate
Environmental Compliance Manager,Environmental Compliance Inspector
Digital Marketing Consultant,Digital Marketing Manager
Freight and Shipping Attorney,"Supervisor and Foreman, Material and Freight Handling"
Technology Law Attorney,Attorney at Law
Agricultural Extension Officer,Agriculture Extension Executive
Urban Planner,Town Planner
Public Relations Specialist,Public Relations Officer
Human Resources Manager,Human Resource Manager
School Counselor,Educational Psychologist
Financial Advisor,Financial Analyst
Public Policy Analyst,Public Relations Officer
Health Policy Analyst,Health Officer
Event Manager,Personnel Manager
Social Worker,Medical Social Worker
Systems Analyst,Operations Research Analyst
Paralegal,Parasitologist
Production Planner,Production Planner
Market Research Analyst,Market Research Analyst
Logistics Coordinator,Transport Coordinator
Data Scientist,Environmental Scientist
Agribusiness Manager,General Manager Agriculture Farm
Construction Project Manager,"Manager, Construction"
Media Production Manager,Production Manager (Motion Picture)
Operations Manager,Personnel Manager
Training and Development Manager,Product Development Manager
Financial Analyst,Financial Analyst
City Manager,Personnel Manager
Healthcare Administrator,Hospital Administrator
Hotel Manager,Hotel and Restaurant Keeper
Social and Community Service Manager,Community Service Provider
IT Project Manager,IT Coordinator in School
Corporate Compliance Manager,Personnel Manager
Operations Manager (Manufacturing),"Manager, Manufacturing"
Marketing Manager,Sales Manager
Logistics Manager,Transport Manager
Business Intelligence Analyst,Operations Research Analyst
Agricultural Communications Specialist,Agriculture Field Officer
Architectural Visualizer,Architect
Multimedia Artist,Commercial Artist
Creative Project Manager,Creative Writer
Art Teacher,Art Teacher
Art Investment Consultant,Art Director
Cultural Policy Advisor,Service Advisor
Art Therapist,Beauty Therapist
Cultural Tour Guide,Tourist Guide
Art Therapist,Beauty Therapist
Multimedia Artist and Animator,Animator
Art Lawyer,Art Director
Product Designer (Arts Focus),Product Design Manager
Marketing Art Director (Advertising),Advertising Sales Agent
Exhibit Transportation Specialist,Transport Manager
Scientific Illustrator,Rendering Artist
